OutputerStream
==========================================================================
Started:Wed Jun 29 08:28:01 2022 UTC
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,Pool 1,Pool 2,Pool 3,
onOutputStep,50,1924-02-29:23:59:59.999999,1,0.0792349726775956,1768555519234.91,-1393442216104.75,-375113302830.163,
onOutputStep,51,1924-03-31:23:59:59.999999,1,0.0846994535519126,-1089485476987.42,2995843283057.76,-1906357805770.34,
onOutputStep,52,1924-04-30:23:59:59.999999,1,0.0819672131147541,-2513627487501.59,-2914252761612.52,5427880249414.11,
onOutputStep,53,1924-05-31:23:59:59.999999,1,0.0846994535519126,8841629817877.5,-1810589352945.8,-7031040464631.7,
onOutputStep,54,1924-06-30:23:59:59.999999,1,0.0819672131147541,-13128739237664.5,12399413439713.6,729325798250.83,
onOutputStep,55,1924-07-31:23:59:59.999999,1,0.0846994535519126,5025317210693.08,-23267067728820.6,18241750518427.6,
onOutputStep,56,1924-08-31:23:59:59.999999,1,0.0846994535519126,25672613109249.1,18166446238311.3,-43839059347260.5,
onOutputStep,57,1924-09-30:23:59:59.999999,1,0.0819672131147541,-73021982360192.8,24291173922868.2,48730808437624.6,
onOutputStep,58,1924-10-31:23:59:59.999999,1,0.0846994535519126,94515499280118.5,-107074164029685,12558664749866.3,
onOutputStep,59,1924-11-30:23:59:59.999999,1,0.0819672131147541,-9642239306734.83,176407231078996,-166764991771962,
onOutputStep,60,1924-12-31:23:59:59.999999,1,0.0846994535519126,-245587165948202,-100738526638254,346325692586756,
==========================================================================
Finished:Wed Jun 29 08:28:01 2022 UTC
==========================================================================
