OutputerStream
==========================================================================
Started:Sat Jun 25 16:29:16 2022 UTC
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,initialValues,plantCM,SoilDPM,SoilRPM,SoilBioF,SoilBioS,SoilHUM,SoilIOM,atmosphere,offsiteCM,
onOutputStep,36,1922-12-31:23:59:59.999999,1,0.0849315068493151,-72.741,-333.19,60.9852854312859,86.1007498344648,23.3829399758355,0.021471676362335,44.7610406347947,43,147.679512447257,0,
onOutputStep,37,1923-01-31:23:59:59.999999,1,0.0849315068493151,-72.741,-341.32,46.7057700769041,86.7786679224836,25.9858127067969,0.020928491121141,47.4131891990699,43,164.156631603624,0,
onOutputStep,38,1923-02-28:23:59:59.999999,1,0.0767123287671233,-72.741,-353.62,41.1557538291121,88.6318098691684,27.901827876551,0.0204356212560457,49.3512850167227,43,176.29988778719,0,
onOutputStep,39,1923-03-31:23:59:59.999999,1,0.0849315068493151,-72.741,-362.52,35.4540302383991,89.649971884717,29.5287943054277,0.0199819190639759,50.9896208063021,43,186.61860084609,0,
onOutputStep,40,1923-04-30:23:59:59.999999,1,0.0821917808219178,-72.741,-372.32,42.7019469050658,92.2020552180503,29.5287943054277,0.0199819190639759,50.9896208063021,43,186.61860084609,0,
onOutputStep,41,1923-05-31:23:59:59.999999,1,0.0849315068493151,-72.741,-379.72,39.7600662891114,93.2898178164673,30.6371991325731,0.0197060915889858,52.1080514944247,43,193.646159175835,0,
onOutputStep,42,1923-06-30:23:59:59.999999,1,0.0821917808219178,-72.741,-385.82,44.2715246224447,94.878359483134,30.6371991325731,0.0197060915889858,52.1080514944247,43,193.646159175835,0,
onOutputStep,43,1923-07-31:23:59:59.999999,1,0.0849315068493151,-72.741,-391.32,41.8033985628765,95.6812717761201,31.4954052468716,0.0195077385117679,52.9750910399747,43,199.086325635645,0,
onOutputStep,44,1923-08-31:23:59:59.999999,1,0.0849315068493151,-72.741,-404.12,51.2700652295432,99.0146051094534,31.4954052468716,0.0195077385117679,52.9750910399747,43,199.086325635645,0,
onOutputStep,45,1923-09-30:23:59:59.999999,1,0.0821917808219178,-72.741,-414.92,59.2575652295432,101.827105109453,31.4954052468716,0.0195077385117679,52.9750910399747,43,199.086325635645,0,
onOutputStep,46,1923-10-31:23:59:59.999999,1,0.0849315068493151,-72.741,-423.52,52.3335420781647,102.995387420507,33.2148390143842,0.0191966334881901,54.7223941645236,43,209.975640688932,0,
onOutputStep,47,1923-11-30:23:59:59.999999,1,0.0821917808219178,-72.741,-431.72,58.398125411498,105.130804087174,33.2148390143842,0.0191966334881901,54.7223941645236,43,209.975640688932,0,
onOutputStep,48,1923-12-31:23:59:59.999999,1,0.0849315068493151,-72.741,-440.82,47.5045871455698,105.938725309973,35.5127646835969,0.0187648173501676,57.0522717799069,43,224.533886263603,0,
onOutputStep,49,1924-01-31:23:59:59.999999,1,0.0846994535519126,-72.741,-449.92,39.9311388759913,106.738911877499,37.4139660788019,0.0183438548951963,58.9667753615616,43,236.591863951251,0,
onOutputStep,50,1924-02-29:23:59:59.999999,1,0.0792349726775956,-72.741,-459.02,35.29060044735,107.628561655035,38.9531715919339,0.0179586049092164,60.5066345345311,43,246.364073166241,0,
onOutputStep,51,1924-03-31:23:59:59.999999,1,0.0846994535519126,-72.741,-468.12,31.3947901066838,108.403711336982,40.4168963957211,0.0175557287037426,61.9619122729485,43,255.666134158961,0,
onOutputStep,52,1924-04-30:23:59:59.999999,1,0.0819672131147541,-72.741,-477.22,28.9270493941905,109.218813473405,41.7047926433249,0.017174455939007,63.2347956697284,43,263.858374363413,0,
onOutputStep,53,1924-05-31:23:59:59.999999,1,0.0846994535519126,-72.741,-486.32,26.9473076799197,109.97040173005,42.9418485101189,0.0167891710198966,64.4510780421096,43,271.733574866782,0,
onOutputStep,54,1924-06-30:23:59:59.999999,1,0.0819672131147541,-72.741,-495.42,25.7825766898859,110.763034920334,44.076371554214,0.0164245462435402,65.5616132443581,43,278.960979044965,0,
onOutputStep,55,1924-07-31:23:59:59.999999,1,0.0846994535519126,-72.741,-504.52,24.74963738907,111.491743745022,45.2027665439539,0.0160560845005108,66.6600956474098,43,286.140700590044,0,
onOutputStep,56,1924-08-31:23:59:59.999999,1,0.0846994535519126,-72.741,-513.62,24.027716664318,112.209655903207,46.2932027684484,0.0156958886817916,67.7199135916102,43,293.094815183735,0,
onOutputStep,57,1924-09-30:23:59:59.999999,1,0.0819672131147541,-72.741,-522.72,23.7183584703725,112.970174464059,47.329120797577,0.015355007652375,68.7242538611218,43,299.703737399217,0,
onOutputStep,58,1924-10-31:23:59:59.999999,1,0.0846994535519126,-72.741,-531.82,23.3069563797404,113.666181956235,48.3849876538957,0.0150105395130467,69.74576513766,43,306.442098332956,0,
onOutputStep,59,1924-11-30:23:59:59.999999,1,0.0819672131147541,-72.741,-540.92,23.2087643171585,114.405811510823,49.3981142841134,0.0146845427972799,70.7241742100793,43,312.909451135028,0,
onOutputStep,60,1924-12-31:23:59:59.999999,1,0.0846994535519126,-72.741,-550.02,22.9508012986752,115.080548374883,50.4381494376465,0.0143551156000566,71.7269536830433,43,319.550192090152,0,
==========================================================================
Finished:Sat Jun 25 16:29:16 2022 UTC
==========================================================================
